TimeGenerated [UTC],DeviceName,ActionType,LocalIP,LocalPort,RemoteIP,RemotePort,InitiatingProcessFileName,failed_connections
"4/3/2025, 4:53:04.546 AM",felix-win10,ConnectionFailed,10.0.0.121,50219,REDACTED IP,443,wermgr.exe,1
"4/3/2025, 4:54:23.542 AM",felix-win10,ConnectionFailed,10.0.0.121,50261,REDACTED IP,443,svchost.exe,1
"4/3/2025, 4:56:56.198 AM",felix-win10,ConnectionFailed,10.0.0.121,50329,REDACTED IP,443,taskhostw.exe,1
"4/3/2025, 5:00:29.024 AM",felix-win10,ConnectionFailed,10.0.0.121,50437,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:06:21.418 AM",felix-win10,ConnectionFailed,10.0.0.121,50670,REDACTED IP,80,svchost.exe,1
"4/3/2025, 5:06:21.418 AM",felix-win10,ConnectionFailed,10.0.0.121,50671,REDACTED IP,80,svchost.exe,1
"4/3/2025, 5:09:23.672 AM",felix-win10,ConnectionFailed,10.0.0.121,50850,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:15:29.164 AM",felix-win10,ConnectionFailed,10.0.0.121,51070,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:17:48.060 AM",felix-win10,ConnectionFailed,10.0.0.121,51145,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:24:23.784 AM",felix-win10,ConnectionFailed,10.0.0.121,51317,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:28:09.016 AM",felix-win10,ConnectionFailed,10.0.0.121,51419,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 5:28:09.016 AM",felix-win10,ConnectionFailed,10.0.0.121,51420,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 5:28:09.016 AM",felix-win10,ConnectionFailed,10.0.0.121,51421,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 5:28:09.016 AM",felix-win10,ConnectionFailed,10.0.0.121,51422,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 5:28:09.016 AM",felix-win10,ConnectionFailed,10.0.0.121,51423,REDACTED IP,443,backgroundtaskhost.exe,1
"4/3/2025, 5:39:24.037 AM",felix-win10,ConnectionFailed,10.0.0.121,51742,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:42:03.358 AM",felix-win10,ConnectionFailed,10.0.0.121,51814,REDACTED IP,443,svchost.exe,1
"4/3/2025, 5:54:24.166 AM",felix-win10,ConnectionFailed,10.0.0.121,52128,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:09:24.284 AM",felix-win10,ConnectionFailed,10.0.0.121,52506,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:15:29.570 AM",felix-win10,ConnectionFailed,10.0.0.121,52785,REDACTED IP,443,svchost.exe,1
